SetName,Distribution,ThreadNumber,OPS,Time,Discrepancy
Locked,Uniform,8,1:1:0,1342863107,0
Default,Normal,8,1:1:8,87499001,-1
Default,Normal,8,1:1:8,83006655,-1
Default,Normal,8,1:1:8,82968552,-1
Default,Normal,8,1:1:8,83176907,-1
Default,Normal,8,1:1:8,84466629,-1
Locked,Normal,8,1:1:8,1049817081,0
Locked,Normal,8,1:1:8,1056729254,0
Locked,Normal,8,1:1:8,985125237,0
Locked,Normal,8,1:1:8,1024472752,0
Locked,Normal,8,1:1:8,1076170501,0
Default,Normal,8,1:1:0,113669478,-1
Default,Normal,8,1:1:0,113640974,-1
Default,Normal,8,1:1:0,109044632,-1
Default,Normal,8,1:1:0,119265333,-1
Default,Normal,8,1:1:0,112141305,-1
Locked,Normal,8,1:1:0,1323734190,0
Locked,Normal,8,1:1:0,1333202150,0
Locked,Normal,8,1:1:0,1335338518,0
Locked,Normal,8,1:1:0,1399208368,0
Locked,Normal,8,1:1:0,1290739814,0
