SetName,Distribution,ThreadNumber,OPS,Time,Discrepancy
GlobalLog,Normal,2,1:1:8,1720546301,0
GlobalLog,Normal,2,1:1:8,1560769018,0
GlobalLog,Normal,2,1:1:8,1578542133,1
GlobalLog,Normal,2,1:1:8,1559563603,0
GlobalLog,Normal,2,1:1:8,1554850726,1
Extra,Normal,2,1:1:8,3523642706,0
Extra,Normal,2,1:1:8,2772004200,1
Extra,Normal,2,1:1:8,3121628997,0
Extra,Normal,2,1:1:8,3236645296,0
Extra,Normal,2,1:1:8,1573823482,0
Default,Normal,2,1:1:0,1708703969,-1
Default,Normal,2,1:1:0,1630557830,-1
Default,Normal,2,1:1:0,1732797286,-1
Default,Normal,2,1:1:0,1630574562,-1
Default,Normal,2,1:1:0,1665588932,-1
LocalLog,Normal,2,1:1:0,525697,0
LocalLog,Normal,2,1:1:0,325647,0
LocalLog,Normal,2,1:1:0,481313,0
LocalLog,Normal,2,1:1:0,303195,0
LocalLog,Normal,2,1:1:0,414205,0
GlobalLog,Normal,2,1:1:0,2573102726,0
GlobalLog,Normal,2,1:1:0,2299291589,0
GlobalLog,Normal,2,1:1:0,2151513489,0
GlobalLog,Normal,2,1:1:0,2213269869,2
GlobalLog,Normal,2,1:1:0,2201767910,0
Extra,Normal,2,1:1:0,3093087650,2
Extra,Normal,2,1:1:0,3959261676,0
Extra,Normal,2,1:1:0,3643619471,0
Extra,Normal,2,1:1:0,2874584304,0
Extra,Normal,2,1:1:0,4144763871,2
Default,Uniform,4,1:1:8,1707510784,-1
Default,Uniform,4,1:1:8,1503547887,-1
Default,Uniform,4,1:1:8,1503511728,-1
Default,Uniform,4,1:1:8,1537162423,-1
Default,Uniform,4,1:1:8,1608381040,-1
LocalLog,Uniform,4,1:1:8,1177824,0
LocalLog,Uniform,4,1:1:8,661334,0
LocalLog,Uniform,4,1:1:8,772785,0
LocalLog,Uniform,4,1:1:8,640444,0
LocalLog,Uniform,4,1:1:8,631728,0
GlobalLog,Uniform,4,1:1:8,3119979360,0
GlobalLog,Uniform,4,1:1:8,2651164389,1
GlobalLog,Uniform,4,1:1:8,3250785909,0
GlobalLog,Uniform,4,1:1:8,2973223230,0
GlobalLog,Uniform,4,1:1:8,2910695913,6
Extra,Uniform,4,1:1:8,2769154172,0
Extra,Uniform,4,1:1:8,4484577033,0
Extra,Uniform,4,1:1:8,3659883212,0
Extra,Uniform,4,1:1:8,3880607196,1
Extra,Uniform,4,1:1:8,4203880031,2
Default,Uniform,4,1:1:0,2100370969,-1
Default,Uniform,4,1:1:0,2158852626,-1
Default,Uniform,4,1:1:0,2120596206,-1
Default,Uniform,4,1:1:0,2131126520,-1
Default,Uniform,4,1:1:0,2153300214,-1
LocalLog,Uniform,4,1:1:0,668828,0
LocalLog,Uniform,4,1:1:0,613173,0
LocalLog,Uniform,4,1:1:0,812582,0
LocalLog,Uniform,4,1:1:0,612471,0
LocalLog,Uniform,4,1:1:0,590430,0
GlobalLog,Uniform,4,1:1:0,3933324393,0
GlobalLog,Uniform,4,1:1:0,4111885862,0
GlobalLog,Uniform,4,1:1:0,3450708693,2
GlobalLog,Uniform,4,1:1:0,2885016038,2
GlobalLog,Uniform,4,1:1:0,4128858623,0
Extra,Uniform,4,1:1:0,5259633554,2
Extra,Uniform,4,1:1:0,5814851495,0
Extra,Uniform,4,1:1:0,6219928352,2
Extra,Uniform,4,1:1:0,5802689792,0
Extra,Uniform,4,1:1:0,5250722270,2
Default,Normal,4,1:1:8,1225539031,-1
Default,Normal,4,1:1:8,1318075034,-1
Default,Normal,4,1:1:8,1383832207,-1
Default,Normal,4,1:1:8,1197621649,-1
Default,Normal,4,1:1:8,1295837366,-1
LocalLog,Normal,4,1:1:8,664630,0
